cluster	Group	Title	spots
0	MM	hMM5	785
1	MM	hMM1	80
1	MM	hMM2	31
1	MM	hMM3	698
1	MM	hMM4	67
1	MM	hMM5	249
1	MM	hMM6	25
1	control	hHBM1	1819
1	control	hHBM2	776
1	control	hHBM3	1241
2	MM	hMM3	271
3	MM	hMM2	522
3	control	hHBM1	13
4	MM	hMM1	6
4	MM	hMM2	1
4	MM	hMM3	4
4	MM	hMM4	4
4	MM	hMM5	1913
4	MM	hMM6	1
4	control	hHBM1	52
4	control	hHBM2	7
4	control	hHBM3	1
5	MM	hMM1	9
5	MM	hMM2	320
5	MM	hMM4	12
5	MM	hMM5	45
5	MM	hMM6	848
5	control	hHBM1	156
5	control	hHBM2	35
5	control	hHBM3	10
6	MM	hMM1	274
7	MM	hMM1	4
7	MM	hMM2	2
7	MM	hMM3	4
7	MM	hMM4	1043
7	MM	hMM5	1
7	MM	hMM6	1
7	control	hHBM1	15
7	control	hHBM2	4
7	control	hHBM3	2
